的	的话	的确
政	政府	政治
仇	仇恨	仇人
仇	仇恨	仇人
猪	猪头	猪肉
掏	掏出	掏钱
悲	悲伤	悲剧
浮	浮现	浮云
孔	孔明	孔子
羞	羞涩	羞辱
歉	歉意	歉疚
乌	乌拉	乌黑
财	财富	财产
创	创造	创作
胆	胆子	胆小
监	监狱	监控
唉	唉声叹气	唉呀
荡	荡漾	荡然无存
醉	醉酒	醉意
录	录取	录像
隔	隔壁	隔离
孟	孟子	孟婆汤
迅	迅速	迅猛
亡	亡灵	亡魂
育	育人	育才
尚	尚未	尚可
织	织女	织成
康	康复	康泰
晶	晶莹	晶晶
踢	踢飞	踢开
恢	恢复	恢复正常
扯	扯淡	扯开
箱	箱子	箱包
拖	拖鞋	拖拉机
挣	挣扎	挣脱
降	降临	降低
降	降临	降低
史	史诗	史密斯
裤	裤子	裤兜
轰	轰鸣	轰然
涵	涵养	涵盖
尾	尾巴	尾随
尾	尾巴	尾随
侧	侧身	侧面
侧	侧身	侧面
侧	侧身	侧面
互	互相	互联网
磊	磊磊	磊落
芒	芒果	芒果树
拒	拒绝	拒之门外
湖	湖边	湖面
预	预感	预料
避	避免	避开
乡	乡下	乡村
馨	馨香	馨心
庄	庄园	庄严
耐	耐心	耐不住
壁	壁画	壁上
拼	拼命	拼搏
裂	裂缝	裂开
抗	抗议	抗拒
抹	抹杀	抹布
妍	妍妍	妍丽
懒	懒得	懒腰
祖	祖宗	祖国
锁	锁定	锁上
凶	凶手	凶狠
堆	堆满	堆积
施	施展	施主
缺	缺少	缺点
困	困难	困惑
贝	贝尔	贝壳
洪	洪荒	洪水
慰	慰藉	慰问
暂	暂时	暂且
鼓	鼓励	鼓掌
插	插入	插进
符	符合	符号
蛇	蛇皮袋	蛇头
蛇	蛇皮袋	蛇头
乖	乖乖	乖巧
积	积分	积蓄
琴	琴声	琴弦
萌	萌生	萌芽
庭	庭院	庭审
赚	赚钱	赚取
赚	赚钱	赚取
鞋	鞋子	鞋底
冬	冬天	冬季
卧	卧室	卧槽
啪	啪啪	啪嗒
熊	熊猫	熊熊
私	私人	私下
梯	梯子	梯田
瘦	瘦弱	瘦小
赏	赏金	赏心悦目
农	农村	农民
饿	饿死	饿狼
甩	甩开	甩头
陷	陷入	陷阱
贴	贴着	贴身
荣	荣幸	荣耀
耀	耀眼	耀武扬威
营	营养	营业
赌	赌场	赌博
豫	豫州	豫南
悔	悔恨	悔过
庆	庆幸	庆祝
厂	厂里	厂子
厂	厂里	厂子
盛	盛开	盛夏
盛	盛开	盛夏
姓	姓名	姓氏
脏	脏兮兮	脏话
磨	磨练	磨蹭
宣	宣布	宣传
厨	厨房	厨师
尤	尤其	尤物
占	占据	占领
府	府邸	府上
针	针对	针灸
检	检查	检测
悦	悦耳	悦来
含	含义	含笑
脖	脖子	脖颈
郁	郁闷	郁郁葱葱
辛	辛苦	辛辛苦苦
播	播放	播报
仁	仁慈	仁兄
哲	哲学	哲理
浓	浓浓的	浓郁
碗	碗筷	碗面
劳	劳资	劳动
吵	吵醒	吵架
增	增加	增长
泡	泡妞	泡面
琐	琐琐碎碎	琐事
亦	亦然	亦可
甲	甲板	甲鱼
艾	艾伦	艾迪
季	季节	季末
艾	艾伦	艾迪
伊	伊人	伊东
横	横扫	横行
怜	怜悯	怜惜
偶	偶尔	偶然
旭	旭东	旭日
词	词语	词汇
踏	踏上	踏入
夕	夕阳	夕阳西下
雾	雾气	雾水
眯	眯着	眯着眼
仍	仍然	仍旧
享	享受	享用
挤	挤出	挤满
惧	惧怕	惧色
脉	脉搏	脉络
悟	悟空	悟性
戒	戒指	戒备
粗	粗气	粗糙
鸟	鸟儿	鸟蛋
鸟	鸟儿	鸟蛋
绕	绕过	绕道
摔	摔倒	摔死
铺	铺垫	铺满
庞	庞大	庞然大物
吞	吞噬	吞吞吐吐
烂	烂泥	烂摊子
乔	乔治	乔家
袭	袭击	袭警
刷	刷牙	刷刷
冥	冥王	冥界
爹	爹娘	爹妈
楠	楠木	楠竹
臭	臭小子	臭味
臭	臭小子	臭味
丧	丧尸	丧失
冯	冯宝宝	冯雪峰
痕	痕迹	痕记
替	替代	替身
莹	莹莹	莹润
厌	厌恶	厌烦
勾	勾起	勾勒
跃	跃起	跃跃欲试
宗	宗师	宗教
朗	朗诵	朗读
末	末日	末世
尝	尝试	尝尝
揉	揉捏	揉搓
阻	阻止	阻挡
率	率先	率领
率	率先	率领
液	液体	液晶电视
亏	亏了	亏待
忧	忧伤	忧郁
评	评价	评论
签	签约	签字
趴	趴在	趴下
凤	凤凰	凤毛麟角
染	染红	染成
缩	缩小	缩回
融	融合	融入
泰	泰山	泰国
屏	屏幕	屏障
屏	屏幕	屏障
钢	钢琴	钢铁
弯	弯腰	弯曲
婉	婉转	婉拒
款	款式	款款
慧	慧眼	慧根
列	列车	列表
艳	艳丽	艳遇
捂	捂着	捂住
执	执行	执着
纳	纳闷	纳米
娃	娃娃	娃子
滑	滑落	滑稽
涌	涌出	涌动
采	采访	采用
黎	黎明	黎川
赞	赞同	赞叹
旋	旋转	旋即
魏	魏晋	魏国
脆	脆弱	脆响
劫	劫匪	劫持
熙	熙熙攘攘	熙攘
遗	遗憾	遗忘
遗	遗憾	遗忘
撑	撑起	撑不住
姿	姿势	姿态
赢	赢得	赢家
丰	丰富	丰满
拦	拦住	拦下
狱	狱警	狱中
咯	咯咯	咯噔
咯	咯咯	咯噔
咯	咯咯	咯噔
咋	咋样	咋办
咋	咋样	咋办
薛	薛宝钗	薛定谔
宜	宜阳	宜人
摩	摩托车	摩擦
穷	穷人	穷小子
珍	珍惜	珍贵
船	船上	船长
穆	穆然	穆斯
骑	骑士	骑车
迫	迫不及待	迫切
夹	夹杂着	夹杂
夹	夹杂着	夹杂
旅	旅游	旅馆
县	县城	县里
汪	汪汪	汪洋
扰	扰乱	扰人清梦
盒	盒子	盒饭
律	律师	律动
屈	屈服	屈辱
聪	聪明	聪明人
遥	遥远	遥控器
怡	怡然	怡和
焦	焦急	焦虑
溜	溜达	溜走
唇	唇角	唇红齿白
坑	坑人	坑坑洼洼
妻	妻子	妻儿
编	编辑	编号
驶	驶去	驶来
塞	塞进	塞满
撒	撒娇	撒谎
肃	肃穆	肃静
曹	曹操	曹丕
逐	逐渐	逐步
搬	搬家	搬走
踪	踪影	踪迹
茫	茫然	茫茫
跪	跪下	跪倒
判	判断	判官
喃	喃喃	喃喃自语
蒋	蒋家	蒋介石
栋	栋梁	栋梁之才
摊	摊位	摊子
龄	龄期	
篮	篮球	篮球场
嘟	嘟囔	嘟嘟
泥	泥土	泥巴
吉	吉他	吉利
倍	倍感	倍儿
倾	倾城	倾斜
喷	喷出	喷嚏
钻	钻进	钻石
掩	掩饰	掩盖
捏	捏住	捏紧
键	键盘	键子
竹	竹竿	竹林
络	络绎不绝	络腮胡
牵	牵挂	牵扯
岳	岳父	岳母
咕	咕咕	咕噜
瑞	瑞士	瑞文
豆	豆豆	豆腐
埋	埋怨	埋头
登	登上	登记
棍	棍子	棍棒
肤	肤色	肤浅
殊	殊不知	殊死
翔	翔宇	翔实
恭	恭喜	恭敬
眨	眨眼	眨巴
袁	袁枚	袁天罡
旦	旦夕	旦旦
佩	佩服	佩戴
帆	帆布鞋	帆布
拔	拔出	拔腿就跑
销	销售	销售员
仰	仰望	仰头
狐	狐狸	狐疑
嘲	嘲笑	嘲讽
嘲	嘲笑	嘲讽
萱	萱望	萱草
寂	寂静	寂寞
瞧	瞧瞧	瞧不起
逗	逗我	逗乐
池	池塘	池子
坤	坤包	坤宁宫
甘	甘心	甘愿
砰	砰砰	砰然
燃	燃烧	燃起
席	席卷	席子
哇	哇哇	哇塞
振	振国	振华
叮	叮嘱	叮咚
稀	稀罕	稀少
嘉	嘉宾	嘉华
瓜	瓜子脸	瓜子
玛	玛丽	玛莎拉蒂
汤	汤姆	汤圆
汤	汤姆	汤圆
嫣	嫣然	嫣红
踩	踩到	踩油门
趁	趁着	趁机
喘	喘气	喘息
痴	痴迷	痴痴
谷	谷底	谷子
劝	劝说	劝阻
谷	谷底	谷子
纹	纹身	纹路
驾	驾驶	驾驶座
允	允许	允诺
亿	亿万	亿美元
供	供奉	供应
僵	僵尸	僵硬
芳	芳香	芳心
颖	颖慧	颖上
妮	妮子	妮儿
域	域外	域名
宽	宽大	宽敞
恼	恼怒	恼火
沫	沫儿	沫子
鑫	鑫茂	
肥	肥胖	肥肉
询	询问	询问笔录
拨	拨通	拨打
逛	逛街	逛逛
薄	薄薄的	薄弱
版	版本	版权
厕	厕所	厕所间
途	途中	途径
批	批评	批准
蹲	蹲下	蹲下来
蹲	蹲下	蹲下来
恒	恒星	恒心
御	御用	御医
氛	氛围	氛雾
岩	岩石	岩浆
宏	宏伟	宏图
典	典型	典雅
毁	毁灭	毁掉
祸	祸害	祸水
岚	岚县	岚皋
夺	夺走	夺取
猴	猴子	猴儿
胳	胳膊	胳膊肘
祝	祝福	祝贺
舅	舅舅	舅妈
撇	撇嘴	撇撇嘴
潜	潜力	潜意识
欠	欠揍	欠下
缠	缠绕	缠绵
迪	迪厅	迪拜
辣	辣椒	辣妹
耗	耗子	耗费
航	航班	航空
镖	镖局	镖师
媚	媚眼	媚笑
泉	泉水	泉眼
岛	岛国	岛上
抵	抵抗	抵挡
币	币种	币制
郎	郎中	郎才女貌
堪	堪称	堪忧
咧	咧嘴	咧着
酸	酸痛	酸楚
桃	桃花	桃子
焰	焰火	焰火晚会
瞎	瞎子	瞎说
咖	咖啡	咖啡厅
咖	咖啡	咖啡厅
例	例外	例如
购	购买	购物
账	账号	账户
夸	夸张	夸奖
曼	曼妙	曼哈顿
遭	遭遇	遭到
羊	羊皮	羊肉
奥	奥迪	奥特曼
损	损失	损坏
征	征服	征兆
唤	唤醒	唤作
蹭	蹭蹬	
赫	赫然	赫赫有名
裙	裙子	裙摆
柜	柜台	柜子
柜	柜台	柜子
载	载体	载入
锅	锅盖	锅碗瓢盆
辞	辞职	辞退
扣	扣子	扣除
寝	寝室	寝宫
伏	伏羲	伏笔
棒	棒棒糖	棒子
猎	猎人	猎物
湿	湿润	湿透
咽	咽下	咽喉
伍	伍子胥	伍拾
皓	皓月	皓然
延	延伸	延续
库	库里	库房
挠	挠头	挠痒痒
俗	俗话说	俗称
牧	牧场	牧师
映	映入眼帘	映入
槽	槽牙	槽糕
愧	愧疚	愧对
频	频繁	频道
荒	荒废	荒唐
吻	吻合	吻上了
汽	汽车	汽车站
舌	舌头	舌尖
虫	虫子	虫鸣
莲	莲花	莲蓬
授	授权	授课
贤	贤惠	贤者
档	档案	档次
捡	捡起	捡起来
仪	仪器	仪式
吕	吕布	吕洞宾
赤	赤裸裸	赤红
鸿	鸿蒙	鸿文
桥	桥段	桥下
啸	啸声	啸虎
咚	咚咚	
诸	诸葛	诸多
撕	撕裂	撕心裂肺
彼	彼此	彼岸
繁	繁华	繁星
繁	繁华	繁星
浅	浅浅的	浅笑
浅	浅浅的	浅笑
啡	啡厅	
朴	朴素	朴实
兮	兮兮	
窝	窝囊	窝囊废
赖	赖床	赖账
饱	饱满	饱嗝
炮	炮弹	炮灰
炮	炮弹	炮灰
洒	洒脱	洒落
筑	筑基	筑起
润	润泽	润滑
乘	乘客	乘坐
乘	乘客	乘坐
塔	塔米	塔顶
搜	搜索	搜寻
饰	饰品	饰演
肌	肌肉	肌肤
协	协会	协议
呃	呃逆	
缝	缝隙	缝合
减	减少	减肥
屑	屑意	
挨	挨打	挨着
励	励志	励精图治
砍	砍刀	砍死
绑	绑定	绑架
鼠	鼠标	鼠辈
抛	抛弃	抛开
耍	耍赖	耍流氓
嫌	嫌弃	嫌疑人
锐	锐利	锐气
饶	饶命	饶有兴趣
丈	丈夫	丈母娘
扮	扮演	扮演着
州	州市	州长
罚	罚站	罚款
玻	玻璃	玻璃窗
扇	扇门	扇子
眸	眸子	
蛮	蛮横	蛮子
氏	氏族	氏家谱
氏	氏族	氏家谱
疗	疗伤	疗养院
济	济南	济公
瞳	瞳孔	瞳仁
售	售票员	售价
澡	澡堂	澡堂子
郝	郝老板	郝老爷
珊	珊瑚	珊瑚礁
罩	罩杯	罩住
哀	哀嚎	哀求
漠	漠然	漠视
鄙	鄙视	鄙夷
兔	兔子	兔崽子
益	益民	益处
祥	祥和	祥云
荐	荐举	荐贤
滋	滋味	滋润
斤	斤斤计较	斤两
径	径直	径自
纠	纠结	纠缠
潘	潘多拉	潘安
趟	趟浑水	趟水
宾	宾馆	宾利
串	串门	串联
妞	妞妞	妞儿
泛	泛起	泛红
鹰	鹰眼	鹰钩鼻
诡	诡异	诡秘
抚	抚摸	抚养
柱	柱子	柱状
幅	幅度	幅员辽阔
踹	踹出去	
汇	汇报	汇聚
糟	糟糕	糟蹋
溪	溪水	溪流
苗	苗条	苗子
歪	歪歪	歪着头
核	核心	核桃
吊	吊儿郎当	吊灯
卓	卓越	卓然
催	催促	催眠
芸	芸芸	芸芸众生
疲	疲惫	疲倦
姚	姚明	姚安
殿	殿下	殿堂
奏	奏效	奏响
腹	腹部	腹诽
添	添加	添麻烦
忠	忠诚	忠实
链	链子	链接
侠	侠客	侠义
耸	耸了耸肩	耸耸肩
卵	卵石	卵子
脾	脾气	脾气好
摄	摄像头	摄像机
烤	烤肉	烤串
企	企业	企图
促	促使	促进
牢	牢牢	牢房
逆	逆转	逆流
嫩	嫩嫩的	嫩白
纵	纵横	纵身
固	固定	固执
彤	彤云	彤云密布
箭	箭头	箭矢
迈	迈着	迈出
伦	伦敦	伦理
盟	盟主	盟友
蜜	蜜蜂	蜜糖
订	订阅	订婚
谋	谋杀	谋生
贺	贺喜	贺卡
审	审核	审讯
胁	胁迫	胁持
葛	葛云飞	葛根
饮	饮料	饮食
括	括号	括弧
括	括号	括弧
拐	拐杖	拐角
嘀	嘀咕	嘀嘀
措	措手不及	措施
佑	佑德	佑护
愁	愁眉苦脸	愁容
魅	魅力	魅惑
爪	爪子	爪牙
糖	糖果	糖葫芦
悬	悬崖	悬浮
哄	哄笑	哄哄
酷	酷酷	酷热
漆	漆黑	漆黑一片
闯	闯荡	闯入
策	策划	策略
刑	刑警	刑天
潮	潮湿	潮流
遮	遮住	遮挡
齿	齿轮	齿间
丑	丑陋	丑恶
兜	兜里	兜帽
述	述说	述职
勉	勉强	勉为其难
钥	钥匙	钥匙孔
盈	盈盈	盈利
序	序列	序幕
斥	斥责	斥候
羡	羡慕	
渊	渊源	渊博
匙	匙子	匙里
匙	匙子	匙里
申	申请	申屠
霜	霜雪	霜降
培	培养	培训
刹	刹车	刹那间
刹	刹车	刹那间
笨	笨蛋	笨拙
鲁	鲁莽	鲁迅
贾	贾宝玉	贾似道
贾	贾宝玉	贾似道
隆	隆起	隆重
姬	姬鹏飞	姬大哥
梓	梓潼	梓树
陶	陶醉	陶瓷
陶	陶醉	陶瓷
嚣	嚣张	嚣张气焰
堵	堵住	堵车
涩	涩味	涩滞
娱	娱乐	娱乐圈
弥	弥漫	弥补
贱	贱人	贱货
麦	麦克	麦克风
躯	躯体	躯壳
谅	谅解	谅山
袍	袍子	袍哥
井	井盖	井井有条
尹	尹志平	尹恩惠
枝	枝叶	枝头
咒	咒骂	咒语
笼	笼罩	笼子
乃	乃是	乃至
赔	赔偿	赔钱
予	予以	予取予求
颇	颇为	颇具
崔	崔判官	崔府君
蝶	蝶舞	蝶儿
央	央求	央视
魄	魄力	魄荡魂飞
魄	魄力	魄荡魂飞
魄	魄力	魄荡魂飞
寸	寸头	寸土寸金
灿	灿烂	灿若繁星
憋	憋屈	憋着
萝	萝卜	萝卜丝
幼	幼儿园	幼稚
忌	忌惮	忌讳
巷	巷子	巷口
巷	巷子	巷口
漏	漏出	漏洞
邀	邀请	邀请函
歹	歹徒	歹毒
泄	泄露	泄气
彪	彪悍	彪形大汉
涨	涨红	涨红了脸
霞	霞光	霞山
墓	墓碑	墓地
韵	韵味	韵诗
垃	垃圾	垃圾桶
涂	涂抹	涂山
霍	霍先生	霍然
召	召唤	召集
召	召唤	召集
裹	裹住	裹得
斜	斜眼	斜阳
构	构成	构思
泣	泣不成声	泣鬼神
邓	邓大人	邓丽君
讽	讽刺	讽喻
媳	媳妇	媳妇儿
拽	拽了起来	拽起来
拽	拽了起来	拽起来
挖	挖掘	挖出来
逝	逝去	逝世
袖	袖子	袖口
阅	阅读	阅历
疾	疾病	疾驰
呐	呐喊	呐喊声
斩	斩杀	斩钉截铁
刃	刃口	刃具
植	植物	植入
帽	帽子	帽檐
瑟	瑟瑟	瑟斯
巾	巾帼	巾帼不让须眉
坦	坦然	坦克
赋	赋予	赋诗
雕	雕刻	雕像
删	删除	删了
宅	宅子	宅院
诱	诱惑	诱人
恰	恰好	恰巧
嫂	嫂子	嫂嫂
岂	岂不是	岂能
截	截然不同	截然
愈	愈发	愈合
蹦	蹦蹦跳跳	蹦出
渣	渣滓	渣子
匪	匪徒	匪夷所思
莎	莎士比亚	莎拉
莎	莎士比亚	莎拉
厢	厢房	厢式
誓	誓言	誓死
嗓	嗓子	嗓音
崩	崩溃	崩塌
筋	筋骨	筋疲力尽
噗	噗嗤	噗通
柯	柯林	柯蒂斯
翠	翠绿	翠绿色
聂	聂远	聂荣
匕	匕首	匕鬯不惊
昂	昂贵	昂首挺胸
谭	谭家	谭新杰
吾	吾辈	吾主
衫	衫衣	衫裤
豹	豹子	豹纹
嫁	嫁给	嫁人
盗	盗版	盗墓
浴	浴室	浴巾
麟	麟儿	麟德
猥	猥琐	猥琐男
盾	盾牌	盾片
勤	勤奋	勤快
宙	宙斯	
诧	诧异	诧然
枚	枚举	枚举法
违	违背	违反
穴	穴位	穴道
贼	贼眉鼠眼	贼人
煞	煞气	煞白
骚	骚扰	骚动
裁	裁判	裁决
娟	娟子	娟秀
惠	惠顾	惠子
旗	旗下	旗袍
樱	樱花	樱桃
廊	廊道	廊桥
页	页面	页码
锦	锦囊	锦盒
详	详细	详情
硕	硕大	硕士
辱	辱骂	辱没
垂	垂下	垂头丧气
躁	躁动	躁动不安
榜	榜单	榜样
恍	恍惚	恍然大悟
卢	卢卡	卢卡斯
桶	桶子	桶装
搂	搂住	搂搂抱抱
劈	劈头盖脸	劈开
覆	覆盖	覆灭
捉	捉弄	捉住
啤	啤酒	啤酒瓶
割	割舍	割破
衡	衡量	衡山
讯	讯息	讯号
衬	衬衫	衬衣
冠	冠军	冠冕堂皇
描	描述	描写
篇	篇文章	篇章
吟	吟唱	吟诗
霖	霖生	霖雨
盆	盆子	盆栽
跌	跌倒	跌落
茹	茹毛饮血	茹素
艰	艰难	艰辛
勒	勒索	勒住
叨	叨叨	叨念
叨	叨叨	叨念
碍	碍于	碍事
棋	棋子	棋盘
俏	俏皮	俏丽
丛	丛林	丛生
孝	孝顺	孝敬
烁	烁烁	
啧	啧啧	啧啧称奇
冉	冉冉	冉冉升起
侯	侯爵	侯赛因
抑	抑制	抑郁
疤	疤痕	疤脸
茜	茜茜公主	茜草
茜	茜茜公主	茜草
洲	洲际	洲际导弹
砖	砖头	砖块
琦	琦玉县	
荷	荷尔蒙	荷花
哗	哗哗	哗啦啦
灾	灾难	灾祸
霄	霄汉	霄夜
矮	矮小	矮子
贪	贪婪	贪玩
返	返回	返修
廖	廖国强	廖先生
颊	颊骨	颊面
婶	婶婶	婶子
皆	皆知	皆大欢喜
沿	沿着	沿海
掐	掐着	掐住
沾	沾满	沾染
披	披肩	披着
仓	仓库	仓促
霉	霉运	霉味
奕	奕奕	
莱	莱克	莱斯
锻	锻炼	锻炼身体
挽	挽着	挽留
阁	阁下	阁楼
炒	炒菜	炒股
淋	淋漓尽致	淋湿
凳	凳子	
耻	耻辱	耻笑
腕	腕表	腕上
籍	籍贯	籍无名
矩	矩阵	矩形
拆	拆开	拆迁
拆	拆开	拆迁
竞	竞争	竞选
析	析出	析产
哑	哑巴	哑口无言
蓉	蓉蓉	蓉城
谦	谦虚	谦卑
宠	宠物	宠爱
眠	眠思梦想	眠药
邵	邵东	邵阳
腐	腐烂	腐蚀
慨	慨叹	慨然
捕	捕捉到	捕捉
胎	胎记	胎儿
糕	糕点	糕点店
戚	戚戚	戚继光
灌	灌输	灌木丛
桐	桐树	桐城
逍	逍遥	逍遥子
彬	彬彬有礼	彬彬
献	献给	献殷勤
桑	桑塔纳	桑拿
碧	碧绿	碧海
械	械斗	械弹
翘	翘起	翘着
渴	渴望	渴求
辑	辑录	辑要
侵	侵蚀	侵犯
瞒	瞒不过	瞒过
咔	咔嚓	咔哒
岸	岸边	岸上
沟	沟通	沟壑
捧	捧起	捧场
枯	枯燥	枯萎
氓	氓流	
邻	邻居	邻家
筒	筒子楼	筒子
驰	驰骋	驰名
妥	妥协	妥当
铜	铜钱	铜铃
坠	坠落	坠入
蔡	蔡伦	蔡夫人
愉	愉快	愉悦
谱	谱写	谱子
鼎	鼎盛	鼎鼎大名
嘶	嘶吼	嘶哑
乞	乞丐	乞讨
膝	膝盖	膝下
畏	畏惧	畏畏缩缩
契	契约	契合
契	契约	契合
熬	熬夜	熬到
杆	杆子	杆秤
绵	绵绵	绵延
奉	奉献	奉承
卦	卦象	卦辞
亭	亭子	亭亭玉立
筷	筷子	筷子巷
瞄	瞄准	瞄着
骄	骄傲	骄阳
睿	睿智	睿哲
畅	畅快	畅想
颠	颠簸	颠覆
噬	噬人鲨	噬脐莫及
玫	玫瑰	玫瑰花
抄	抄起	抄袭
寿	寿命	寿司
撤	撤退	撤离
痒	痒痒	痒酥酥
肆	肆无忌惮	肆意
叉	叉腰	叉子
卿	卿卿	卿卿我我
阔	阔别	阔少
苹	苹果	苹果树
填	填饱	填写
驱	驱使	驱散
姆	姆妈	姆指
党	党员	党委书记
怔	怔怔	怔住
瞅	瞅见	
竖	竖起	竖立
兑	兑换	兑现
均	均匀	均衡
症	症状	症结
旺	旺盛	旺旺
碌	碌碌无为	碌碌
慎	慎重	慎重考虑
虹	虹膜	虹桥
蠢	蠢蠢欲动	蠢货
虹	虹膜	虹桥
吱	吱吱	吱呀
吱	吱吱	吱呀
姥	姥姥	姥爷
姥	姥姥	姥爷
尿	尿裤子	尿急
绳	绳子	绳索
栏	栏杆	栏目
妆	妆扮	妆点
乾	乾坤	乾隆
乾	乾坤	乾隆
萍	萍水相逢	萍踪侠影
港	港口	港湾
崇	崇拜	崇尚
仗	仗义	仗势欺人
狸	狸猫	狸子
闺	闺女	闺房
吩	吩咐	
稿	稿子	稿费
嚷	嚷嚷	嚷起来
盼	盼望	盼望着
伐	伐木	伐毛洗髓
偿	偿还	偿命
辜	辜负	辜鸿铭
淑	淑女	淑芳
彭	彭山	彭长老
谨	谨慎	谨记
阎	阎王	阎罗王
贫	贫穷	贫道
殷	殷勤	殷红
邦	邦杰	邦国
帘	帘子	帘布
著	著名	著称
驳	驳回	驳斥
窜	窜出	窜进
摘	摘下	摘下来
慈	慈祥	慈爱
鹤	鹤立鸡群	鹤发童颜
巫	巫师	巫术
邹	邹城	邹家
跨	跨越	跨过
喉	喉咙	喉结
憾	憾事	憾动
佣	佣兵	佣人
嚎	嚎叫	嚎啕大哭
宴	宴会	宴席
寄	寄托	寄宿
瞥	瞥见	瞥一眼
刮	刮目相看	刮起
矿	矿泉水	矿泉水瓶
谎	谎言	谎话
婴	婴儿	婴孩
污	污染	污垢
础	础润而雨	础石
蚁	蚁后	蚁王
尺	尺寸	尺子
俱	俱乐部	俱全
侃	侃侃而谈	侃大山
坛	坛子	坛主
胃	胃口	胃部
萨	萨斯	萨尔
捷	捷径	捷达
柏	柏油路	柏油
柄	柄竹	柄政
柴	柴火	柴刀
腻	腻歪	腻味
扩	扩大	扩散
侣	侣伴	
嘱	嘱咐	嘱托
挪	挪动	挪开
涯	涯子	涯际
陵	陵墓	陵园
肿	肿胀	肿瘤
浸	浸湿	浸泡
腔	腔调	腔子
诀	诀窍	诀别
厦	厦门	厦大
厦	厦门	厦大
懵	懵懂	懵懵懂懂
辕	辕马	辕门
雀	雀跃	雀斑
访	访问	访客
拟	拟定	拟态
患	患者	患有
誉	誉为	誉满
矛	矛盾	矛头
彦	彦士	彦涵
暮	暮色	暮年
聘	聘请	聘用
伪	伪装	伪装成
悍	悍匪	悍马车
韦	韦小宝	韦小
瑰	瑰丽	瑰宝
瑜	瑜伽	瑜珈
晋	晋级	晋升
呈	呈现	呈现出
芊	芊芊	芊绵
漱	漱口	漱口水
媒	媒体	媒婆
棵	棵子	棵儿
翅	翅膀	翅翼
翰	翰墨	翰林
屠	屠杀	屠夫
巅	巅峰	巅峰状态
邱	邱少云	邱先生
稚	稚嫩	稚气
泼	泼妇	泼辣
娶	娶媳妇	娶妻生子
溢	溢出	溢于言表
辅	辅助	辅导员
姗	姗姗	姗姗来迟
璇	璇玑	璇宫
惫	惫懒	
斑	斑驳	斑白
饼	饼干	饼子
澈	澈底	澈底澄清
叠	叠好	叠加
塌	塌陷	塌下来
妒	妒忌	妒火
烫	烫伤	烫手
纤	纤细	纤纤
纤	纤细	纤纤
蒂	蒂斯	蒂娜
窃	窃窃私语	窃喜
惩	惩罚	惩戒
涉	涉及	涉猎
炫	炫耀	炫目
祭	祭坛	祭祀
虐	虐待	虐杀
辩	辩解	辩论
汐	汐止	
帐	帐篷	帐号
叛	叛逆	叛徒
鸭	鸭子	鸭舌帽
冻	冻结	冻得
腥	腥味	腥臭
躬	躬身	躬身行礼
肺	肺部	肺癌
障	障碍	障碍物
吁	吁吁	吁气
吁	吁吁	吁气
溃	溃散	溃烂
溃	溃散	溃烂
兼	兼职	兼任
澜	澜沧江	澜沧
靖	靖宇	靖康
津	津津有味	津津乐道
拎	拎包	拎下来
耽	耽误	耽搁
嗡	嗡嗡	嗡嗡作响
鉴	鉴定	鉴于
塑	塑料袋	塑料
锤	锤子	锤炼
嘎	嘎嘎	嘎吱
愕	愕然	愕视
册	册子	册封
藤	藤蔓	藤椅
丐	丐帮	丐幫
缕	缕缕	缕述
筹	筹码	筹备
臣	臣服	臣服于
狞	狞笑	狞恶
剪	剪刀	剪辑
嗨	嗨哟	
伞	伞兵	伞柄
昆	昆仑	昆虫
歇	歇斯底里	歇息
蕾	蕾丝	蕾期
援	援助	援手
舔	舔着	舔食
储	储存	储备
茂	茂密	茂盛
裸	裸露	裸奔
赐	赐予	赐给
讪	讪讪	讪笑
狮	狮子	狮吼
葬	葬礼	葬送
宛	宛如	宛若
磕	磕头	磕磕绊绊
冤	冤枉	冤家
掀	掀起	掀开
嫉	嫉妒	嫉恶如仇
蔓	蔓延	蔓延到
惕	惕厉	惕惧
蔓	蔓延	蔓延到
奸	奸笑	奸诈
喽	喽啰	喽罗
肠	肠子	肠胃
贯	贯穿	贯彻
叽	叽叽喳喳	叽叽
迁	迁移	迁就
凄	凄惨	凄凉
渡	渡劫	渡过
卑	卑微	卑鄙
龟	龟儿子	龟壳
龟	龟儿子	龟壳
龟	龟儿子	龟壳
暑	暑假	暑假作业
屎	屎壳郎	屎尿
俺	俺们	俺家
犬	犬吠	犬子
哆	哆嗦	哆哆嗦嗦
祈	祈祷	祈求
框	框架	框框
乏	乏味	乏力
嘘	嘘寒问暖	嘘声
嘘	嘘寒问暖	嘘声
魁	魁梧	魁首
妄	妄想	妄图
崖	崖壁	崖顶
疏	疏远	疏忽
凛	凛冽	凛然
唔	唔该晒	
噩	噩梦	噩耗
狙	狙击手	狙击枪
郊	郊区	郊外
朦	朦胧	朦朦胧胧
沸	沸腾	沸沸扬扬
滞	滞留	滞后
鞭	鞭子	鞭炮
粒	粒子	粒粒
蜂	蜂蜜	蜂拥
俯	俯卧撑	俯视
撼	撼动	撼天动地
瓦	瓦房	瓦片
夷	夷为平地	夷陵
胞	胞弟	胞胎
舟	舟车劳顿	舟山
鹿	鹿角	鹿鼎记
桂	桂花	桂花树
轨	轨迹	轨道
革	革命	革新
革	革命	革新
